Type,RegionName,RegionId,Fias,OKATO
г,Курган,79,3bbda77d-ba3f-4457-9d44-c440815cda89,37401000000
г,Анадырь,80,7fad3a21-06b4-4af3-9657-bf1521714952,77401000000
г,Иркутск,81,8eeed222-72e7-47c3-ab3a-9a553c31cf72,25401000000
г,Орёл,82,2abed4d9-5565-4885-bc96-f4ffccc6cba4,54401000000
г,Томск,83,e3b0eae8-a4ce-4779-ae04-5c0797de66be,69401000000
г,Пятигорск,86,9b0efbd0-22bb-400d-86db-ddc69b9939d9,7427000000
г,Тольятти,87,242e87c1-584d-4360-8c4c-aae2fe90048e,36440000000
г,Таганрог,89,d72c95ed-9fdd-4f27-b94f-898fc3f1177d,60437000000
г,Фрязино,90,13696e0e-4c75-49aa-9c83-0a6faf5074ee,46480000000
г,Усинск,91,267fd50d-0077-4041-9594-18b1de5f2acb,87423000000
г,Реутов,92,e0504cf6-4d81-401c-b18b-434457aaaa21,46464000000
г,Тобольск,93,6d7c3e9e-8d6d-490a-a650-8257dbf5ec36,71410000000
г,Ангарск,94,82b6b7c8-82a4-44b2-8bc7-691373706b89,25203501000
г,Химки,95,d76255c8-3173-4db5-a39b-badd3ebdf851,46483000000
г,Прокопьевск,96,2d8b9d01-1c4f-4987-8a0b-1eb5080c1f38,32437000000
г,Усолье-Сибирское,98,ac680034-f7da-4bd8-8374-a5c97aa09516,25436000000
г,Арзамас,99,7e42f157-87d6-4111-a406-17432e814723,22403000000
г,Подольск,100,b22cf685-e391-42c8-aab5-a9aadb9193d4,46460000000
г,Уссурийск,102,de7335fb-9baa-48eb-927d-0bb299b2e5bc,5423000000
г,Ухта,105,067b4cef-e128-4d5a-8305-fecf53e7b7e8,87425000000
г,Шелехов,106,c727ac3a-e05c-4b81-b8e1-9b1003c28595,25255501000
г,Энгельс,108,c58d0505-54eb-4c34-8216-b14f7cdb0ecb,63450000000
г,Усть-Илимск,109,78d11295-77b5-4ac4-b128-582e2989c0a5,25438000000
г,Череповец,112,b4c30848-5181-44b4-88fa-456e1c4aeb0f,19430000000
г,Шахты,113,dee2e80e-f2e1-4a68-93b0-b7b89b6f3e74,60440000000
г,Мончегорск,116,177e037d-a06d-4f8a-9333-fd534dd34c5d,47415000000
г,Жуковский,117,fd91f393-4820-437f-a50c-907e9856c374,46425000000
г,Северодвинск,118,32747c72-c08b-4440-b340-91f48d72f9db,11430000000
г,Димитровград,120,73b29372-242c-42c5-89cd-8814bc2368af,73405000000
г,Выкса,121,d89942e8-e06b-46bd-a805-7cec8f77417e,22415000000
г,Серов,122,591f3e74-079f-42ff-a155-f01c9dc363ae,65492000000
г,Невинномысск,123,ff894fb7-acb4-4edf-bb48-c5349d89579b,7424000000
г,Сургут,124,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,71136000000
г.,Нягань,125,06157075-a993-404d-b940-0a103131dc66,71139000000
г,Ленинск-Кузнецкий,126,cf600ae8-e376-42ae-bf7c-5aa1875dcd28,32419000000
г,Стерлитамак,127,84e0b23d-82fe-40a8-8739-55e679780dc3,80445000000
г,Великие Луки,128,ca091eae-2c39-4730-b57d-b2fa570f71cb,58410000000
г,Набережные Челны,129,748d7afa-7407-4876-9f40-764ecdd09bbd,92430000000
г,Междуреченск,130,c6a7e590-04b4-4a01-85fc-b61b63711bba,32425000000
г,Сызрань,133,e9e684ce-7d60-4480-ba14-ca6da658188b,36435000000
г,Липецк,134,eacb5f15-1a2e-432e-904a-ca56bd635f1b,42401000000
г,Нижний Тагил,135,cc73d6af-6e2e-4a1f-be8e-682c289b0b57,65476000000
г,Старый Оскол,136,9f5e86b1-b893-43dc-9dd4-ac66573b17d1,14440000000
г,Комсомольск-на-Амуре,137,a29c5b20-5056-412b-9af6-7b805aa3ea72,8409000000
г,Магнитогорск,139,988157bf-d6d5-4c2a-80ec-4ad531eea056,75438000000
г,Нижневартовск,140,0bf0f4ed-13f8-446e-82f6-325498808076,71135000000
г,Серпухов,141,efc02a6a-273b-4a49-aef9-a5606ef8591c,46470000000
г,Саянск,143,c21b5e04-ce0f-4f98-b0ac-0ceabc531212,25426000000
г,Ивантеевка,145,e12cf909-779a-4352-af51-7a2a07668f60,46432000000
г,Рубцовск,146,65db5c88-c65c-43f0-9c21-13e15a032d4a,1416000000
г,Нефтекамск,147,2c9997d2-ce94-431a-96c9-722d2238d5c8,80427000000
г,Новокузнецк,148,b28b6f6f-1435-444e-95a6-68c499b0d27a,32431000000
г,Орехово-Зуево,149,0f2f2d09-8e7a-4356-bd4d-0b055d802e7b,46457000000
г,Новочеркасск,150,28bafcb3-92b2-445b-9443-a341be73fdb9,60427000000
г,Железногорск,151,b73b7c50-112e-4b04-82df-1e0cea13de4b,38405000000
