"Type","RegionName","RegionId","Fias","OKATO","ParentRegionId"
г,Норильск,1,d301a980-4a45-4066-9a20-4e783856a562,"04429000000",261
г,Электросталь,2,e0b171b6-bf2e-4d68-ab05-4d42ab2b375a,"46490000000",287
г,Самара,3,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,"36401000000",299
г,Уфа,4,"7339e834-2cb4-4734-a4c7-1fca2c66e562","80401000000",237
г,Казань,5,"93b3df57-4c89-44df-ac42-96f05e9cd3b9","92401000000",251
г,Новосибирск,6,"8dea00e3-9aab-4d8e-887c-ef2aaa546456","50401000000",291
г,Челябинск,7,a376e68d-724a-4472-be7c-891bdb09ae32,"75401000000",310
г,Нижний Новгород,8,"555e7d61-d9a7-4ba6-9770-6caa8198c483","22401000000",289
г,Ростов-на-Дону,9,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,"60401000000",297
г,Красноярск,10,"9b968c73-f4d4-4012-8da8-3dacd4d4c1bd","04401000000",261
г,Пермь,11,a309e4ce-2f36-4106-b1ca-53e0f48a6d95,"57401000000",262
г,Волгоград,12,a52b7389-0cfe-46fb-ae15-298652a64cf8,"18401000000",272
г,Воронеж,13,"5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1","20401000000",274
г,Сочи,14,"79da737a-603b-4c19-9b54-9114c96fb912","03426000000",260
г,Майкоп,15,"8cfbe842-e803-49ca-9347-1ef90481dd98","79401000000",235
г,Горно-Алтайск,16,"0839d751-b940-4d3d-afb6-5df03fdd7791","84401000000",236
г,Улан-Удэ,17,"9fdcc25f-a3d0-4f28-8b61-40648d099065","81401000000",238
г,Элиста,21,d5bd18b9-22c1-48e2-9b4a-3b7a4c89a3cb,"85401000000",242
г,Петрозаводск,23,ccc34487-8fd4-4e71-b032-f4e6c82fb354,"86401000000",244
г,Сыктывкар,24,d2944a73-daf4-4a08-9b34-d9b0af7785a1,"87401000000",245
г,Йошкар-Ола,26,"0648e41c-a09b-4eac-91cd-8cf61b9ccb7b","88401000000",247
г,Саранск,27,"1ccfdc3c-be0f-4e42-ab4d-98f90de972d9","89401000000",248
г,Якутск,28,"884c84a2-0141-4652-962d-8a92989b88f7","98401000000",249
г,Кызыл,30,"8df8c56f-a46e-438f-a85b-a9b18ad4fc77","93401000000",252
г,Ижевск,31,deb1d05a-71ce-40d1-b726-6ba85d70d58f,"94401000000",253
г,Чебоксары,32,dd8caeab-c685-4f2a-bf5f-550aca1bbc48,"97401000000",256
г,Абакан,33,"42a02e11-a337-4d50-8596-fc76dae7c62a","95401000000",254
г,Барнаул,35,d13945a8-7017-46ab-b1e6-ede1e89317ad,"01401000000",257
г,Чита,36,"2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c","76401000000",258
г,Петропавловск-Камчатский,37,"0b3f0723-5fe0-4c23-af44-8082166c6d2e","30401000000",259
г,Краснодар,38,"7dfa745e-aa19-4688-b121-b655c11e482f","03401000000",260
г,Владивосток,39,"7b6de6a5-86d0-4735-b11a-499081111af8","05401000000",263
г,Ставрополь,40,"2a1c7bdb-05ea-492f-9e1c-b3999f79dcbc","07401000000",264
г,Хабаровск,41,a4859da8-9977-4b62-8436-4e1b98c5d13f,"08401000000",265
г,Благовещенск,42,"8f41253d-6e3b-48a9-842a-25ba894bd093","10401000000",266
г,Архангельск,43,"06814fb6-0dc3-4bec-ba20-11f894a0faf5","11401000000",267
